Area Code;Area;Area Abbreviation;latitude;longitude
2;Afghanistan;AFG;33.94;67.71
3;Albania;ALB;41.15;20.17
4;Algeria;DZA;28.03;1.66
7;Angola;AGO;-11.2;17.87
8;Antigua and Barbuda;ATG;17.06;-61.8
9;Argentina;ARG;-38.42;-63.62
1;Armenia;ARM;40.07;45.04
10;Australia;AUS;-25.27;133.78
11;Austria;AUT;47.52;14.55
52;Azerbaijan;AZE;40.14;47.58
12;Bahamas;AZE;25.03;-77.4
16;Bangladesh;BGD;23.68;90.36
14;Barbados;BRB;13.19;-59.54
57;Belarus;BLR;53.71;27.95
255;Belgium;BEL;50.5;4.47
23;Belize;BLZ;17.19;-88.5
53;Benin;BEN;9.31;2.32
17;Bermuda;BMU;32.32;-64.76
19;Bolivia (Plurinational State of);BOL;-16.29;-63.59
80;Bosnia and Herzegovina;BIH;43.92;17.68
20;Botswana;BWA;-22.33;24.68
21;Brazil;BRA;-14.24;-51.93
26;Brunei Darussalam;BRN;4.54;114.73
27;Bulgaria;BGR;42.73;25.49
233;Burkina Faso;BFA;12.24;-1.56
35;Cabo Verde;CPV;16;-24.01
115;Cambodia;KHM;12.57;104.99
32;Cameroon;CMR;7.37;12.35
33;Canada;CAN;56.13;-106.35
37;Central African Republic;CAF;6.61;20.94
39;Chad;TCD;15.45;18.73
40;Chile;CHL;-35.68;-71.54
96;China, Hong Kong SAR;CHN;22.4;114.11
128;China, Macao SAR;CHN;22.2;113.54
41;China, mainland;CHN;35.86;104.2
214;China, Taiwan Province of;CHN;23.7;120.96
44;Colombia;COL;4.57;-74.3
46;Congo;COD;-0.23;15.83
48;Costa Rica;CRI;9.75;-83.75
107;Cote d'Ivoire;CIV;7.54;-5.55
98;Croatia;HRV;45.1;15.2
49;Cuba;CUB;21.52;-77.78
50;Cyprus;CYP;35.13;33.43
167;Czechia;CZE;49.82;15.47
116;Democratic People's Republic of Korea;KOR;40.34;127.51
54;Denmark;DNK;56.26;9.5
72;Djibouti;DJI;11.83;42.59
55;Dominica;DMA;15.41;-61.37
56;Dominican Republic;DOM;18.74;-70.16
58;Ecuador;ECU;-1.83;-78.18
59;Egypt;EGY;26.82;30.8
60;El Salvador;SLV;13.79;-88.9
63;Estonia;EST;58.6;25.01
238;Ethiopia;ETH;9.15;40.49
66;Fiji;FJI;-16.58;179.41
67;Finland;FIN;61.92;25.75
68;France;FRA;46.23;2.21
70;French Polynesia;PYF;-17.68;-149.41
74;Gabon;GAB;-0.8;11.61
75;Gambia;GMB;13.44;-15.31
73;Georgia;GEO;42.32;43.36
79;Germany;DEU;51.17;10.45
81;Ghana;GHA;7.95;-1.02
84;Greece;GRC;39.07;21.82
86;Grenada;GRD;12.26;-61.6
89;Guatemala;GTM;15.78;-90.23
90;Guinea;GIN;9.95;-9.7
175;Guinea-Bissau;GNB;11.8;-15.18
91;Guyana;GUY;4.86;-58.93
93;Haiti;HTI;18.97;-72.29
95;Honduras;HND;15.2;-86.24
97;Hungary;HUN;47.16;19.5
99;Iceland;ISL;64.96;-19.02
100;India;IND;20.59;78.96
101;Indonesia;IDN;-0.79;113.92
102;Iran (Islamic Republic of);IRN;32.43;53.69
103;Iraq;IRQ;33.22;43.68
104;Ireland;IRL;53.41;-8.24
105;Israel;ISR;31.05;34.85
106;Italy;ITA;41.87;12.57
109;Jamaica;JAM;18.11;-77.3
110;Japan;JPN;36.2;138.25
112;Jordan;JOR;30.59;36.24
108;Kazakhstan;KAZ;48.02;66.92
114;Kenya;KEN;-0.02;37.91
