Area Code;Item Code;Element Code;Year;qty
2;2511;5142;2012;4810
2;2805;5142;2012;425
2;2513;5521;2012;367
2;2513;5142;2012;78
2;2514;5521;2012;200
2;2514;5142;2012;77
2;2517;5142;2012;14
2;2520;5142;2012;0
2;2531;5142;2012;196
2;2536;5521;2012;69
2;2537;5521;2012;0
2;2542;5142;2012;250
2;2543;5142;2012;24
2;2745;5142;2012;2
2;2549;5521;2012;4
2;2549;5142;2012;63
2;2551;5142;2012;70
2;2560;5142;2012;0
2;2561;5142;2012;16
2;2563;5142;2012;2
2;2571;5142;2012;16
2;2572;5142;2012;0
2;2573;5142;2012;17
2;2574;5142;2012;2
2;2575;5142;2012;3
2;2577;5142;2012;61
2;2579;5142;2012;1
2;2580;5142;2012;1
2;2586;5142;2012;2
2;2601;5142;2012;0
2;2605;5142;2012;910
2;2611;5142;2012;176
2;2614;5142;2012;18
2;2615;5142;2012;48
2;2617;5142;2012;43
2;2618;5142;2012;0
2;2619;5142;2012;9
2;2620;5142;2012;472
2;2625;5142;2012;236
2;2630;5142;2012;0
2;2633;5142;2012;1
2;2635;5142;2012;136
2;2640;5142;2012;0
2;2645;5142;2012;10
2;2655;5142;2012;0
2;2656;5142;2012;3
2;2658;5142;2012;0
2;2731;5142;2012;153
2;2732;5142;2012;155
2;2734;5142;2012;47
2;2735;5142;2012;12
2;2736;5142;2012;54
2;2740;5142;2012;35
2;2743;5142;2012;4
2;2737;5142;2012;16
2;2744;5142;2012;26
2;2848;5521;2012;121
2;2848;5142;2012;1895
2;2761;5142;2012;2
2;2680;5142;2012;2
2;2905;5521;2012;567
2;2905;5142;2012;5405
2;2907;5142;2012;196
2;2908;5521;2012;69
2;2909;5142;2012;276
2;2911;5521;2012;4
2;2911;5142;2012;63
2;2912;5142;2012;70
2;2913;5142;2012;18
2;2914;5142;2012;102
2;2918;5142;2012;910
2;2919;5142;2012;1002
2;2922;5142;2012;136
2;2923;5142;2012;10
2;2924;5142;2012;3
2;2943;5142;2012;367
2;2945;5142;2012;54
2;2946;5142;2012;54
2;2949;5142;2012;26
2;2948;5521;2012;121
2;2948;5142;2012;1895
2;2960;5142;2012;2
2;2928;5142;2012;2
3;2511;5521;2012;20
3;2511;5142;2012;440
3;2805;5521;2012;0
3;2805;5142;2012;22
3;2513;5521;2012;7
3;2513;5142;2012;1
3;2514;5521;2012;356
3;2514;5142;2012;6
3;2515;5142;2012;2
3;2516;5521;2012;24
3;2516;5142;2012;0
3;2517;5521;2012;0
3;2518;5521;2012;0
3;2520;5521;2012;0
3;2520;5142;2012;0
3;2532;5142;2012;0
3;2531;5521;2012;68
3;2531;5142;2012;129
3;2533;5142;2012;3
3;2534;5142;2012;0
3;2537;5521;2012;1
3;2542;5142;2012;55
3;2543;5142;2012;90
3;2745;5142;2012;3
3;2546;5521;2012;1
3;2546;5142;2012;16
3;2547;5142;2012;0
3;2549;5521;2012;1
3;2549;5142;2012;1
3;2551;5142;2012;11
3;2555;5142;2012;0
3;2556;5142;2012;0
3;2558;5142;2012;0
3;2560;5142;2012;0
3;2563;5521;2012;0
3;2563;5142;2012;69
3;2570;5521;2012;0
3;2571;5142;2012;0
3;2572;5142;2012;0
3;2573;5142;2012;16
3;2574;5142;2012;0
3;2577;5142;2012;0
3;2580;5142;2012;2
3;2582;5142;2012;1
3;2586;5142;2012;4
3;2601;5142;2012;175
3;2602;5142;2012;107
3;2605;5521;2012;79
3;2605;5142;2012;514
3;2611;5142;2012;42
3;2612;5142;2012;5
3;2613;5142;2012;3
3;2614;5142;2012;1
3;2615;5142;2012;17
3;2616;5142;2012;1
3;2617;5142;2012;74
3;2618;5142;2012;0
3;2619;5142;2012;12
3;2620;5142;2012;148
3;2625;5142;2012;138
3;2630;5142;2012;8
3;2633;5142;2012;2
3;2635;5142;2012;0
3;2640;5142;2012;0
3;2641;5142;2012;0
3;2645;5142;2012;0
3;2655;5142;2012;24
3;2656;5142;2012;84
3;2657;5142;2012;0
3;2658;5142;2012;8
3;2731;5142;2012;71
3;2732;5142;2012;48
3;2733;5142;2012;35
3;2734;5142;2012;40
3;2735;5142;2012;0
3;2736;5142;2012;13
3;2740;5142;2012;4
3;2743;5142;2012;0
3;2737;5142;2012;6
3;2781;5142;2012;0
3;2782;5142;2012;0
3;2744;5142;2012;40
3;2848;5521;2012;99
3;2848;5142;2012;948
3;2761;5142;2012;2
3;2762;5142;2012;2
3;2763;5521;2012;0
3;2763;5142;2012;6
3;2764;5142;2012;2
3;2765;5142;2012;1
3;2766;5142;2012;1
3;2767;5142;2012;1
3;2769;5142;2012;0
3;2775;5142;2012;0
3;2680;5142;2012;0
3;2905;5521;2012;407
3;2905;5142;2012;471
3;2907;5521;2012;68
3;2907;5142;2012;132
3;2908;5521;2012;1
3;2909;5142;2012;148
3;2911;5521;2012;2
3;2911;5142;2012;17
3;2912;5142;2012;11
3;2913;5521;2012;0
3;2913;5142;2012;69
3;2914;5142;2012;22
3;2918;5521;2012;79
3;2918;5142;2012;796
3;2919;5142;2012;442
3;2922;5142;2012;10
3;2923;5142;2012;0
3;2924;5142;2012;116
3;2943;5142;2012;194
3;2945;5142;2012;13
3;2946;5142;2012;10
3;2949;5142;2012;40
3;2948;5521;2012;99
3;2948;5142;2012;948
3;2960;5521;2012;0
3;2960;5142;2012;16
3;2961;5142;2012;0
3;2928;5142;2012;0
4;2511;5521;2012;635
4;2511;5142;2012;7179
4;2805;5521;2012;2
4;2805;5142;2012;105
4;2513;5521;2012;1262
4;2513;5142;2012;516
4;2514;5521;2012;2250
4;2514;5142;2012;609
4;2515;5142;2012;0
4;2516;5521;2012;105
4;2516;5142;2012;0
4;2517;5521;2012;1
4;2518;5521;2012;0
4;2518;5142;2012;2
4;2520;5521;2012;2
4;2520;5142;2012;1
4;2532;5142;2012;0
4;2531;5521;2012;0
4;2531;5142;2012;2521
4;2534;5142;2012;0
4;2536;5521;2012;0
4;2542;5142;2012;1134
4;2543;5142;2012;23
4;2745;5142;2012;6
4;2546;5142;2012;53
4;2547;5142;2012;17
4;2549;5521;2012;14
4;2549;5142;2012;162
4;2551;5142;2012;71
4;2555;5521;2012;0
4;2555;5142;2012;0
4;2556;5142;2012;7
4;2558;5142;2012;1
4;2560;5142;2012;11
4;2561;5142;2012;4
4;2562;5142;2012;0
4;2563;5142;2012;135
4;2570;5521;2012;2
4;2571;5142;2012;305
4;2572;5142;2012;15
4;2573;5142;2012;88
4;2574;5142;2012;16
4;2577;5142;2012;23
4;2578;5142;2012;2
4;2579;5142;2012;0
4;2580;5142;2012;51
4;2582;5142;2012;2
4;2586;5142;2012;73
4;2601;5142;2012;988
4;2602;5142;2012;1124
4;2605;5521;2012;1
4;2605;5142;2012;3772
4;2611;5142;2012;1002
4;2612;5142;2012;71
4;2613;5142;2012;2
4;2614;5142;2012;22
4;2615;5142;2012;200
4;2616;5142;2012;9
4;2617;5142;2012;497
4;2618;5142;2012;11
4;2619;5142;2012;754
4;2620;5142;2012;492
4;2625;5142;2012;1012
4;2630;5142;2012;129
4;2633;5142;2012;32
4;2635;5142;2012;16
4;2640;5142;2012;2
4;2641;5142;2012;17
4;2642;5142;2012;0
4;2645;5142;2012;11
4;2655;5142;2012;0
4;2656;5142;2012;161
4;2657;5142;2012;0
4;2658;5142;2012;5
4;2731;5142;2012;222
4;2732;5142;2012;282
4;2733;5142;2012;0
4;2734;5142;2012;291
4;2735;5142;2012;14
4;2736;5142;2012;53
4;2740;5142;2012;19
4;2737;5142;2012;9
4;2781;5142;2012;0
4;2782;5142;2012;0
4;2744;5142;2012;280
4;2848;5142;2012;5602
4;2761;5142;2012;13
4;2762;5142;2012;17
4;2763;5521;2012;0
4;2763;5142;2012;100
4;2764;5142;2012;17
4;2765;5142;2012;5
4;2766;5142;2012;2
4;2767;5142;2012;0
4;2769;5142;2012;0
4;2775;5142;2012;0
4;2680;5142;2012;21
4;2905;5521;2012;4258
