Area Code;Item Code;Element Code;Year;Qty
2;2511;5142;2013;4895
2;2805;5142;2013;422
2;2513;5521;2013;360
2;2513;5142;2013;89
2;2514;5521;2013;200
2;2514;5142;2013;76
2;2517;5142;2013;12
2;2520;5142;2013;0
2;2531;5142;2013;230
2;2536;5521;2013;81
2;2537;5521;2013;0
2;2542;5142;2013;255
2;2543;5142;2013;16
2;2745;5142;2013;2
2;2549;5521;2013;4
2;2549;5142;2013;74
2;2551;5142;2013;44
2;2560;5142;2013;0
2;2561;5142;2013;16
2;2563;5142;2013;2
2;2571;5142;2013;16
2;2572;5142;2013;0
2;2573;5142;2013;23
2;2574;5142;2013;2
2;2575;5142;2013;4
2;2577;5142;2013;64
2;2579;5142;2013;1
2;2580;5142;2013;1
2;2586;5142;2013;2
2;2601;5142;2013;0
2;2605;5142;2013;885
2;2611;5142;2013;145
2;2614;5142;2013;39
2;2615;5142;2013;82
2;2617;5142;2013;68
2;2618;5142;2013;0
2;2619;5142;2013;1
2;2620;5142;2013;483
2;2625;5142;2013;223
2;2630;5142;2013;0
2;2633;5142;2013;1
2;2635;5142;2013;107
2;2640;5142;2013;0
2;2645;5142;2013;8
2;2655;5142;2013;0
2;2656;5142;2013;3
2;2658;5142;2013;0
2;2731;5142;2013;140
2;2732;5142;2013;150
2;2734;5142;2013;75
2;2735;5142;2013;12
2;2736;5142;2013;53
2;2740;5142;2013;36
2;2743;5142;2013;18
2;2737;5142;2013;15
2;2744;5142;2013;40
2;2848;5521;2013;123
2;2848;5142;2013;1901
2;2761;5142;2013;2
2;2680;5142;2013;2
2;2905;5521;2013;560
2;2905;5142;2013;5495
2;2907;5142;2013;230
2;2908;5521;2013;81
2;2909;5142;2013;274
2;2911;5521;2013;4
2;2911;5142;2013;74
2;2912;5142;2013;44
2;2913;5142;2013;18
2;2914;5142;2013;114
2;2918;5142;2013;885
2;2919;5142;2013;1040
2;2922;5142;2013;107
2;2923;5142;2013;8
2;2924;5142;2013;3
2;2943;5142;2013;377
2;2945;5142;2013;53
2;2946;5142;2013;69
2;2949;5142;2013;40
2;2948;5521;2013;123
2;2948;5142;2013;1901
2;2960;5142;2013;2
2;2928;5142;2013;2
3;2511;5521;2013;18
3;2511;5142;2013;440
3;2805;5521;2013;0
3;2805;5142;2013;25
3;2513;5521;2013;7
3;2513;5142;2013;1
3;2514;5521;2013;361
3;2514;5142;2013;6
3;2515;5142;2013;2
3;2516;5521;2013;25
3;2516;5142;2013;0
3;2517;5521;2013;0
3;2518;5521;2013;0
3;2520;5521;2013;0
3;2520;5142;2013;0
3;2532;5142;2013;0
3;2531;5521;2013;75
3;2531;5142;2013;131
3;2533;5142;2013;1
3;2534;5142;2013;0
3;2537;5521;2013;1
3;2542;5142;2013;56
3;2543;5142;2013;93
3;2745;5142;2013;3
3;2546;5521;2013;1
3;2546;5142;2013;16
3;2547;5142;2013;0
3;2549;5521;2013;1
3;2549;5142;2013;1
3;2551;5142;2013;13
3;2555;5142;2013;0
3;2556;5142;2013;0
3;2558;5142;2013;0
3;2560;5142;2013;0
3;2563;5521;2013;0
3;2563;5142;2013;73
3;2570;5521;2013;0
3;2571;5142;2013;0
3;2572;5142;2013;0
3;2573;5142;2013;16
3;2574;5142;2013;0
3;2577;5142;2013;0
3;2580;5142;2013;2
3;2582;5142;2013;1
3;2586;5142;2013;4
3;2601;5142;2013;185
3;2602;5142;2013;94
3;2605;5521;2013;70
3;2605;5142;2013;498
3;2611;5142;2013;40
3;2612;5142;2013;5
3;2613;5142;2013;0
3;2614;5142;2013;1
3;2615;5142;2013;20
3;2616;5142;2013;1
3;2617;5142;2013;78
3;2618;5142;2013;0
3;2619;5142;2013;12
